Progress,Duration (in seconds),age,qqm,gender,gender_3_TEXT,oc_stat,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7,RS_8,RS_9,RS_10,RS_11,RS_12,RS_13,RS_14,RS_15,RS_16,RS_17,RS_18,RS_19,RS_20,RS_21,RS_22,RS_23,RS_24,RS_25,RIES_1,RIES_2,RIES_3,RIES_4,RIES_5,RIES_6,RIES_7,RIES_8,RIES_9,RIES_10,RIES_11,RIES_12,RIES_13,RIES_14,RIES_15,RIES_16,RIES_17,RIES_18,RIES_19,RIES_20,RIES_21,RIES_22,RIES_23,RIES_24,RIES_25
73,177,21,2,1,,3,1,3,3,2,1,2,2,2,3,1,6,3,3,2,2,2,2,3,1,2,2,6,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,164,29,2,2,,2,2,2,1,2,2,1,2,6,3,1,6,2,6,2,1,3,6,3,5,2,2,6,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,210,19,1,2,,3,3,1,5,4,3,2,2,4,3,3,4,4,2,3,3,3,1,3,3,1,4,7,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
73,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,167,19,2,2,,3,1,3,3,1,2,3,5,5,5,3,2,1,2,6,5,1,2,2,2,1,5,6,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,42,19,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,313,,2,2,,4,6,2,2,2,1,4,3,3,5,1,3,2,1,3,5,3,2,6,1,2,3,4,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4217,20,2,1,,3,3,2,1,3,1,1,3,1,3,1,3,2,1,2,1,3,1,1,1,3,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,200,19,2,1,,3,1,2,3,1,3,5,1,1,3,1,4,1,2,1,1,1,3,3,2,1,1,6,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
73,471,19,1,1,,4,1,3,3,2,3,3,6,3,3,2,7,6,4,5,2,1,6,4,3,3,4,7,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,151,,2,1,,3,4,2,3,3,2,3,3,5,3,5,6,5,3,5,2,1,6,4,2,4,3,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,164872,20,2,2,,4,5,6,3,4,3,2,4,3,5,3,2,3,5,5,5,2,5,6,3,2,2,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,126,20,2,2,,2,3,3,4,1,1,1,5,4,7,1,7,6,2,3,1,2,3,1,3,1,1,7,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,791,19,2,2,,2,3,6,3,2,2,2,5,6,6,3,2,2,3,6,6,2,6,3,3,2,3,6,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,223,21,2,2,,4,3,3,1,3,2,2,3,3,3,2,4,4,2,2,3,2,4,2,3,3,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,245,20,2,1,,3,4,1,2,2,2,1,2,2,3,1,3,1,1,3,2,1,2,3,1,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,708,19,1,2,,3,3,2,4,3,4,3,4,5,4,4,2,4,1,4,4,4,4,2,2,4,2,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,99,20,2,2,,3,1,2,1,6,1,6,2,1,2,2,4,2,2,2,5,2,2,2,1,2,4,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
73,156,20,2,1,,3,2,2,3,2,2,2,3,2,4,2,2,2,3,3,5,2,5,3,3,2,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,145,21,2,1,,5,3,2,3,3,3,2,3,4,3,2,4,6,1,2,3,2,2,3,2,1,3,6,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,136,50,2,1,,1,1,1,3,1,1,2,2,2,3,1,1,4,1,1,2,2,1,1,2,2,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
73,285,20,2,2,,3,2,2,3,3,2,3,3,2,4,3,5,2,2,3,3,1,3,2,3,3,2,6,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,13603,,2,2,,1,3,2,2,1,3,1,2,1,2,1,7,5,2,4,1,1,3,3,1,2,1,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
73,196,24,2,2,,1,2,1,2,3,2,5,1,1,4,1,3,3,3,2,4,3,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,317,23,2,1,,1,4,4,6,5,2,6,6,7,5,2,1,2,3,3,4,2,6,6,2,2,4,7,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,67,25,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,348,19,2,2,,3,5,2,1,3,2,6,5,4,3,1,6,2,3,3,3,5,6,1,2,2,5,5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,136,19,2,2,,3,1,2,4,3,3,4,5,2,3,5,6,3,3,4,6,2,5,3,3,1,1,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,105,20,2,2,,1,2,2,2,2,3,2,2,2,3,1,3,3,2,3,2,2,3,2,2,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,163,20,2,2,,3,3,1,2,3,2,2,2,2,2,2,5,3,2,2,3,2,3,1,1,2,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,144,,2,1,,3,2,1,2,2,2,1,2,2,3,2,4,2,2,3,3,1,2,2,3,2,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
73,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,227,18,2,1,,2,3,3,3,5,3,2,3,2,5,3,1,4,3,3,3,2,4,1,4,1,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,413,18,1,2,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
73,861,21,2,2,,3,2,3,6,2,5,4,5,5,5,2,2,3,6,3,3,2,3,2,5,2,3,6,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,126,21,2,2,,1,2,2,2,3,1,5,5,3,3,1,3,2,2,2,3,2,4,3,5,5,2,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
73,131,22,2,2,,1,3,3,3,2,2,3,3,2,6,3,6,7,7,2,3,2,6,3,3,5,2,7,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,
73,155,25,2,2,,1,2,2,3,2,2,2,2,3,2,2,3,5,4,2,2,2,4,2,3,2,3,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,493,24,2,4,,1,5,2,6,4,2,3,6,1,5,2,1,3,6,4,2,2,4,7,2,6,1,7,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
73,163,20,2,2,,3,6,2,1,4,1,4,4,3,4,3,4,2,1,5,4,2,3,3,3,5,1,6,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
73,839,22,2,2,,3,3,3,1,1,1,1,3,2,3,3,5,3,1,3,2,1,2,4,5,3,2,5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
82,211,22,2,2,,3,3,3,2,4,2,2,5,3,4,2,5,4,2,3,4,3,5,2,3,2,4,6,2,7,3,4,1,4,3,1,4,1,5,5,2,4,1,2,4,4,4,3,4,2,3,1,3,1,2,1
82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,395,21,1,2,,3,1,1,1,1,1,1,3,1,3,1,7,3,3,2,2,2,2,1,3,7,2,2,1,2,2,2,3,2,4,3,1,4,4,2,4,2,4,5,1,4,2,1,2,2,5,3,2,2,2,2
82,155,,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,335,52,2,2,,1,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,1,2,3,2,1,2,5,2,1,1,2,2,2,2,4,1,3,2,2,4,3,3,3,1,3,2,1,2,2,4,2,4,2,2,3
82,629,21,2,2,,3,2,1,1,1,2,2,4,3,5,2,3,3,1,3,3,1,3,2,1,1,2,6,1,6,3,2,2,2,5,3,1,4,4,4,2,2,2,4,2,3,1,2,5,4,4,3,2,2,1,2
82,264,21,2,2,,3,2,1,1,2,1,1,3,1,5,2,5,1,1,3,3,2,3,3,1,2,5,1,1,3,3,2,2,4,4,4,3,4,3,2,4,2,4,5,1,3,2,2,3,2,4,4,2,4,2,3
82,453,52,2,2,,2,2,2,1,2,1,3,2,2,2,1,3,1,2,5,2,3,2,5,2,2,3,3,4,2,2,3,2,2,3,2,2,3,4,1,3,2,2,1,2,3,2,4,3,3,4,2,3,2,2,2
82,523,21,2,2,,3,5,3,4,3,6,3,4,6,5,2,4,7,3,2,3,3,6,2,3,2,4,7,3,6,2,5,1,4,1,2,2,1,5,4,1,2,5,4,3,5,5,2,2,5,4,1,2,3,4,3
82,289,,1,2,,1,1,1,1,1,1,1,3,1,2,1,1,3,1,4,2,1,4,1,2,2,3,7,2,2,1,1,2,3,4,5,1,1,1,2,3,2,1,2,1,2,2,5,1,1,1,3,5,5,3,4
82,326,22,2,1,,3,3,1,2,2,2,3,2,1,3,3,1,2,3,3,3,2,3,4,3,2,1,2,2,3,2,2,4,2,4,4,2,4,2,2,4,2,4,3,2,3,2,2,3,2,3,3,4,2,3,4
82,186,22,2,2,,3,5,3,3,1,3,2,3,2,3,6,2,3,2,5,2,2,3,4,3,2,4,6,3,6,2,4,1,4,4,3,2,2,3,5,3,3,1,2,1,4,4,1,5,4,4,2,2,3,2,3
82,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,309,20,2,2,,1,4,2,2,2,3,2,3,4,3,2,4,5,2,2,3,2,3,3,2,3,2,6,2,6,3,2,2,3,4,2,2,4,3,2,3,2,2,2,2,3,2,4,2,2,3,2,4,3,4,2
82,415,20,2,2,,3,3,1,2,2,1,3,4,7,2,4,1,4,1,5,6,3,5,2,1,2,5,7,2,7,2,5,2,4,2,2,2,1,4,5,2,4,1,2,2,4,5,5,4,2,2,1,1,4,2,2
82,2562,22,2,2,,3,3,2,3,2,2,2,5,5,5,3,6,2,4,3,2,2,3,5,5,2,4,6,2,3,2,4,1,3,2,2,2,2,4,3,2,2,2,2,2,3,2,2,4,4,2,2,2,2,3,2
82,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,105,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,349,,2,1,,3,5,3,3,1,2,2,5,4,4,4,4,3,2,4,3,3,4,4,3,2,2,6,3,3,5,2,2,4,4,4,2,2,2,4,2,3,2,4,2,3,2,2,2,3,3,3,3,2,2,2
82,212,,2,2,,2,3,2,1,6,1,1,4,2,4,2,3,3,2,4,3,2,3,6,2,2,2,3,4,4,1,4,4,3,4,3,2,2,2,4,4,3,3,3,3,3,3,5,5,4,2,4,3,2,2,3
82,182,19,2,2,,3,3,2,2,3,1,2,3,2,4,5,5,2,3,2,3,2,5,3,5,5,4,5,2,3,5,2,4,2,2,4,2,2,2,3,2,3,4,3,3,3,2,4,2,1,3,2,2,2,2,2
82,411,52,2,1,,1,3,2,3,1,3,2,2,2,4,3,2,2,2,3,3,3,2,3,2,2,2,3,1,2,3,2,3,2,3,4,2,4,2,2,4,2,3,4,3,3,2,2,2,2,4,4,4,4,2,3
82,1121,19,2,1,,3,5,2,2,3,2,1,2,5,3,3,6,2,2,2,2,1,5,3,2,1,7,2,3,6,2,4,4,4,3,4,1,4,2,2,5,1,5,4,1,3,1,2,2,3,3,5,5,4,3,2
82,540,20,2,2,,3,4,2,2,2,2,2,3,3,5,3,3,3,4,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,1,3,4,3,2,3,2,2,4,2,2,2,4,3,2,2,2,3,3,2
